ENSEMBL_ID	CD_LPS_1	WD_LPS_1	CD_LPS_2	WD_LPS_2
ENSMUSG00000042286	7177	8127	9199	9503
ENSMUSG00000042129	35527	32637	45085	48947
ENSMUSG00000069662	46563	47679	46335	53530
ENSMUSG00000001175	50601	46516	42263	48973
ENSMUSG00000006699	44065	41290	37721	45813
ENSMUSG00000020719	33051	37934	38963	45829
ENSMUSG00000005142	21300	22857	27884	29774
ENSMUSG00000039501	39464	49801	58971	71686
ENSMUSG00000058818	50747	55551	51662	60916
ENSMUSG00000033066	42235	44819	49650	57307
ENSMUSG00000024953	85185	77511	57275	66090
ENSMUSG00000001128	37101	39827	29268	31949
ENSMUSG00000017760	27500	28466	26278	30130
ENSMUSG00000056737	34858	34730	30122	34192
ENSMUSG00000032562	31019	30259	28060	31532
ENSMUSG00000001750	38104	45116	46199	46232
ENSMUSG00000030144	54036	47052	41739	43143
ENSMUSG00000020152	46847	46491	48840	61295
ENSMUSG00000006333	39577	28766	24733	26256
ENSMUSG00000057666	46022	37585	34015	33133
ENSMUSG00000040747	39924	52665	39076	50370
ENSMUSG00000024772	72415	65003	64063	66151
ENSMUSG00000036594	20190	32683	17314	17785
ENSMUSG00000027940	40038	43216	41703	50404
ENSMUSG00000073421	21231	31156	17709	17417
ENSMUSG00000038179	56103	80756	76849	100976
ENSMUSG00000018293	36886	33377	26974	29960
ENSMUSG00000018008	40242	36177	34495	37745
ENSMUSG00000028656	31093	33730	34779	40786
ENSMUSG00000024679	65825	67731	59161	71222
ENSMUSG00000024644	45975	49754	38904	46586
ENSMUSG00000064341	13335	21832	20375	23145
ENSMUSG00000030579	26425	22158	20211	22221
ENSMUSG00000024672	29902	30079	23403	28683
ENSMUSG00000020826	68072	97811	103112	114100
ENSMUSG00000055435	29096	34680	37194	41541
ENSMUSG00000029561	43537	41376	48061	51053
ENSMUSG00000027712	37722	34056	32784	37635
ENSMUSG00000025044	52376	53455	52267	62734
ENSMUSG00000038467	56661	52393	44369	52516
ENSMUSG00000044162	61045	53546	56746	57150
ENSMUSG00000025017	29655	40379	49711	59976
ENSMUSG00000016496	43945	68857	69712	90584
ENSMUSG00000030695	32520	25968	25689	24233
ENSMUSG00000054203	62321	68706	70141	66581
ENSMUSG00000027533	36743	43354	29798	35468
ENSMUSG00000044786	35357	40883	47527	46871
ENSMUSG00000015733	41131	36750	37054	44683
ENSMUSG00000019132	15832	17265	18812	23273
ENSMUSG00000026656	55465	58024	49885	56574
ENSMUSG00000041827	48923	60618	53573	69086
ENSMUSG00000003363	25589	28943	26818	28489
ENSMUSG00000063286	24504	30416	44669	59978
ENSMUSG00000036067	61641	63510	59912	66462
ENSMUSG00000030536	19956	23959	30846	38612
ENSMUSG00000023944	42746	33452	37052	36718
ENSMUSG00000025351	35435	28315	23091	25219
ENSMUSG00000007892	34583	24650	18517	19104
ENSMUSG00000071866	28915	23641	22635	26171
ENSMUSG00000006304	32208	32369	29946	36547
ENSMUSG00000003814	23599	20625	22740	24315
ENSMUSG00000064370	10093	16878	19067	19903
ENSMUSG00000052160	11214	12120	11934	14071
ENSMUSG00000037731	39222	50583	53199	66533
ENSMUSG00000021025	47844	46052	49475	50087
ENSMUSG00000006519	32286	24852	20557	21622
ENSMUSG00000029810	29083	24434	19153	20062
ENSMUSG00000060519	46755	46340	45926	53466
ENSMUSG00000090272	46148	48455	45420	60596
ENSMUSG00000046879	44330	44616	48955	56928
ENSMUSG00000075602	39248	45481	24123	37217
ENSMUSG00000023067	41258	37824	40644	43624
ENSMUSG00000023992	18862	16847	15501	15998
ENSMUSG00000028268	56246	58101	59556	73412
ENSMUSG00000032518	24882	18269	17204	18007
ENSMUSG00000033220	38900	40419	35860	42042
ENSMUSG00000008475	41446	36804	34033	40943
ENSMUSG00000020458	26780	27243	27658	31996
ENSMUSG00000019850	39324	46208	55783	60208
ENSMUSG00000027293	24557	28269	29107	35937
ENSMUSG00000042726	34191	37961	38161	44723
ENSMUSG00000020372	24216	20038	18757	19239
ENSMUSG00000050565	47593	48640	48905	58700
ENSMUSG00000060586	15201	24207	14085	12839
ENSMUSG00000022488	25319	31269	35978	42087
ENSMUSG00000022283	28645	28268	32984	38643
ENSMUSG00000003283	52241	49026	45547	48423
ENSMUSG00000030921	37749	39167	44862	54716
ENSMUSG00000056116	56695	57615	45431	57269
ENSMUSG00000015837	25484	27874	24047	24933
ENSMUSG00000039062	25693	29977	32278	38791
ENSMUSG00000075010	78787	75792	65763	75191
ENSMUSG00000006273	28034	31313	26773	32189
ENSMUSG00000022892	27871	31339	34508	40473
ENSMUSG00000026896	32648	36221	45285	51168
ENSMUSG00000035208	32084	39407	44937	53317
ENSMUSG00000037321	43321	46716	44782	50065
ENSMUSG00000112023	28631	32383	29671	36473
ENSMUSG00000035373	48366	83895	48214	73150
ENSMUSG00000038274	27929	21537	17756	18694
ENSMUSG00000031320	22266	17523	16818	18239
ENSMUSG00000028465	21148	24612	32657	38023
ENSMUSG00000079017	32317	29231	24576	31221
ENSMUSG00000059796	33678	29196	26158	27371
ENSMUSG00000025969	26842	32943	42956	51719
ENSMUSG00000043716	26274	21145	18735	19934
ENSMUSG00000029614	23090	19227	18277	20066
ENSMUSG00000025314	24440	26013	32358	39045
ENSMUSG00000031451	8131	7727	7753	8415
ENSMUSG00000034707	20441	25323	27195	34578
ENSMUSG00000030107	50018	53347	48092	57742
ENSMUSG00000026395	22280	24302	27250	34811
ENSMUSG00000032399	19508	16781	16578	18012
ENSMUSG00000033685	10127	9960	10809	12407
ENSMUSG00000062647	22307	18964	16635	18340
ENSMUSG00000049037	25900	28642	25539	33284
ENSMUSG00000027219	54361	74061	67437	82542
ENSMUSG00000019505	30179	24931	21165	26205
ENSMUSG00000031246	31273	33312	31633	39903
ENSMUSG00000027398	44728	29772	31632	26411
ENSMUSG00000025290	28482	23060	19671	22932
ENSMUSG00000020901	29622	31564	39167	41232
ENSMUSG00000026773	42793	46578	50266	50266
ENSMUSG00000042228	35152	42263	36578	43970
ENSMUSG00000036606	14718	16105	17954	20236
ENSMUSG00000022150	18270	27547	26470	32326
ENSMUSG00000020572	36423	37764	38471	46064
ENSMUSG00000025647	26289	27340	25299	29913
ENSMUSG00000059089	39923	50425	37753	53767
ENSMUSG00000027322	12236	23384	25515	37147
ENSMUSG00000031328	15362	15525	23262	27007
ENSMUSG00000026536	45944	43350	41045	46897
ENSMUSG00000024608	26135	18855	16641	16884
ENSMUSG00000000290	19052	21559	22801	26323
ENSMUSG00000030744	23774	16885	15366	16043
ENSMUSG00000041515	25924	34809	29353	33498
ENSMUSG00000026880	25086	31438	26574	34026
ENSMUSG00000021451	19961	22833	25739	33848
ENSMUSG00000041736	47907	43096	34950	39184
ENSMUSG00000017652	46915	46041	45655	52137
ENSMUSG00000026628	30155	38127	29354	34764
ENSMUSG00000047735	26700	31342	40045	49216
ENSMUSG00000053063	22531	18743	17000	19909
ENSMUSG00000026031	32788	38771	48146	60795
ENSMUSG00000032812	29392	29349	29240	32357
ENSMUSG00000020868	25564	26676	27238	32337
ENSMUSG00000047126	15530	15859	21654	27259
ENSMUSG00000021457	29433	32261	35276	42367
ENSMUSG00000000740	21306	16508	14638	15604
ENSMUSG00000050721	18927	24655	23046	27319
ENSMUSG00000001768	25364	37830	35062	46390
ENSMUSG00000030122	22256	21003	17365	21337
ENSMUSG00000038393	6651	5227	4688	5084
ENSMUSG00000004535	40815	41118	44006	52538
ENSMUSG00000064367	8192	13968	16196	17522
ENSMUSG00000071415	22331	19730	16815	19806
ENSMUSG00000027248	20234	16270	17657	19725
ENSMUSG00000029455	12863	12347	13499	13545
ENSMUSG00000002307	29951	34256	34842	40848
ENSMUSG00000062328	22776	17517	15711	17346
ENSMUSG00000079477	25370	26237	22923	26603
ENSMUSG00000040713	10468	9130	11306	11159
ENSMUSG00000028081	22504	16342	15437	17620
ENSMUSG00000000275	25039	31326	33456	40763
ENSMUSG00000024675	50906	53090	45177	59346
ENSMUSG00000003970	22114	17227	14504	15106
ENSMUSG00000019173	30835	29538	27798	31928
ENSMUSG00000018927	23998	25320	20131	21815
ENSMUSG00000039997	28601	32703	38143	45959
ENSMUSG00000034993	18417	19190	18168	19643
ENSMUSG00000034484	31041	33053	31800	40400
ENSMUSG00000049988	38157	36137	30253	32763
ENSMUSG00000022831	28963	28828	23970	27055
ENSMUSG00000032661	27000	30702	35056	43422
ENSMUSG00000036943	19135	24202	24300	31076
ENSMUSG00000040033	28264	33592	37223	43225
ENSMUSG00000031799	32767	32081	33072	38936
ENSMUSG00000020097	18101	19889	19921	22326
ENSMUSG00000092274	6054	10883	12206	8444
ENSMUSG00000093674	23146	17618	14931	16553
ENSMUSG00000115338	49328	41779	37666	41990
ENSMUSG00000045128	21090	16618	14461	16015
ENSMUSG00000063229	35841	28718	21489	21591
ENSMUSG00000027580	23533	36142	49263	63403
ENSMUSG00000049130	13983	13969	13982	16067
ENSMUSG00000055447	27747	26933	25263	31459
ENSMUSG00000004266	22813	22369	21753	25644
ENSMUSG00000031996	10942	11802	13605	15373
ENSMUSG00000005413	31147	22756	22428	19365
ENSMUSG00000001123	39302	39272	37910	44566
ENSMUSG00000020101	5823	5056	4763	5544
ENSMUSG00000069792	43227	36839	30229	31287
ENSMUSG00000027422	23479	27347	31385	35911
ENSMUSG00000000682	26310	25777	19616	24505
ENSMUSG00000027763	12742	15552	17359	24123
ENSMUSG00000017404	23263	18454	16452	17599
ENSMUSG00000073490	17866	25058	28865	35747
ENSMUSG00000004707	21105	21554	19894	23493
ENSMUSG00000005103	27269	27115	26146	31032
ENSMUSG00000079227	23198	31786	27055	36650
ENSMUSG00000029009	27510	35450	39115	43747
ENSMUSG00000025809	22946	22253	24173	29093
ENSMUSG00000053846	37832	43615	60775	80867
ENSMUSG00000060147	11664	9421	9606	9461
ENSMUSG00000039621	18355	21056	22502	29121
ENSMUSG00000025283	25392	24690	21678	25705
ENSMUSG00000044533	18413	13994	12552	13920
ENSMUSG00000054072	31285	41553	46574	58394
ENSMUSG00000027514	36125	32976	32898	36682
ENSMUSG00000020585	22452	20386	19284	22841
ENSMUSG00000020077	40861	40584	31508	37169
ENSMUSG00000024677	29179	30799	26628	35033
ENSMUSG00000021133	20475	22874	27066	28796
ENSMUSG00000031827	11431	10179	9310	10106
ENSMUSG00000004040	31833	37222	39339	47338
ENSMUSG00000032412	28913	25474	25202	29560
ENSMUSG00000038507	31145	32621	35479	41275
ENSMUSG00000030403	37555	33782	31765	34280
ENSMUSG00000030605	16779	22790	20583	20149
ENSMUSG00000042349	24638	29470	30696	34236
ENSMUSG00000078853	35095	36458	35671	38167
ENSMUSG00000026238	21761	19925	19156	21936
ENSMUSG00000048076	25464	22876	21390	23669
ENSMUSG00000022285	27554	29769	30583	37087
ENSMUSG00000026712	7759	9039	10942	11960
ENSMUSG00000032231	25835	23830	21884	24863
ENSMUSG00000034947	20630	21961	20049	23184
ENSMUSG00000026222	26342	26086	28654	35135
ENSMUSG00000000957	45213	45574	43404	46859
ENSMUSG00000039361	15322	16942	17160	20413
ENSMUSG00000007458	26800	24262	25341	29794
ENSMUSG00000026466	23660	25175	29005	34897
ENSMUSG00000052837	27640	26611	25918	25685
ENSMUSG00000027423	7347	7222	6738	7728
ENSMUSG00000030447	25275	29338	28777	37026
ENSMUSG00000031402	24979	26246	25973	30994
ENSMUSG00000049517	19530	15254	13633	14548
ENSMUSG00000061983	19622	14258	13347	14598
ENSMUSG00000064339	27201	19166	24934	25659
ENSMUSG00000021948	22735	22962	25181	27820
ENSMUSG00000025393	23481	19891	20165	21685
ENSMUSG00000078578	26561	25108	24220	28144
ENSMUSG00000007041	21881	19519	16291	19598
ENSMUSG00000076258	31528	15293	13927	14279
ENSMUSG00000035242	20916	14940	12578	13746
ENSMUSG00000029064	25131	24235	22488	26102
ENSMUSG00000015950	18346	14205	16268	18397
ENSMUSG00000037266	13566	12496	14314	12010
ENSMUSG00000073982	23119	22646	19770	21777
ENSMUSG00000028745	18274	18049	15418	17775
ENSMUSG00000090841	21562	16980	13801	15541
ENSMUSG00000068220	19699	14377	14131	13966
ENSMUSG00000017929	32031	38083	35517	40154
ENSMUSG00000017466	10566	10269	9504	10929
ENSMUSG00000052776	31542	28605	26592	29800
ENSMUSG00000037062	26513	28122	25749	32329
ENSMUSG00000007815	21673	20926	20070	23125
ENSMUSG00000060591	21388	19963	17633	18487
ENSMUSG00000035673	27019	28038	32261	31312
ENSMUSG00000026872	15266	18603	23544	29796
ENSMUSG00000025877	28159	36832	32873	39996
ENSMUSG00000017781	17051	15072	13967	15754
ENSMUSG00000033355	23664	21086	19447	22773
ENSMUSG00000022500	21908	26015	20729	23590
ENSMUSG00000030707	7035	5318	4206	4513
ENSMUSG00000079197	40668	31312	25554	29737
ENSMUSG00000027366	23162	22720	24491	31146
ENSMUSG00000024401	30284	29287	34696	35085
ENSMUSG00000000346	14155	14610	13706	16013
ENSMUSG00000063457	16489	13339	10864	11902
ENSMUSG00000024300	4375	3873	4480	4919
ENSMUSG00000029465	20466	18658	16187	18418
ENSMUSG00000033487	20476	26287	32445	42049
ENSMUSG00000020053	6202	6134	8310	9953
ENSMUSG00000021546	19722	18711	18610	21604
