ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_Ctl_1_fpm	WD_Ctl_1_fpm	CD_Ctl_2_fpm	WD_Ctl_2_fpm
ENSMUSG00000035692	17965.42834765251	1.0842470094069152	0.17727372664502675	6.834636425683893e-11	2.4149048704083087e-8	219.76684242191496	420.0608811782567	230.32173045677948	568.0468451165398
ENSMUSG00000054203	624.4918998263629	1.0245052568322541	0.23903009474949227	1.235075976543304e-6	8.090441509266812e-5	6.389381072134291	16.696543400252448	9.38027097724979	17.526597475418058
ENSMUSG00000035373	427.0051348662089	1.6068509340959318	0.31518177975569317	1.855350399197015e-8	2.8464981124522628e-6	2.627409039008493	11.2393977826456	5.339538863972958	14.97693081681737
ENSMUSG00000024675	14028.412380881931	1.0214122037489628	0.18382122063916378	2.115916416316595e-9	5.249273492393936e-7	155.39532096620687	345.28637526892027	205.8969479506329	416.44555423811227
ENSMUSG00000064337	28094.82256770115	1.12590497097233	0.217195938948918	1.3620194151795419e-8	2.1754995042456794e-6	253.02745230209067	779.7680540154062	429.1654361918265	787.1293135592655
ENSMUSG00000078763	10788.339012878874	1.1710305951833098	0.17815266944733568	3.3669485544173083e-12	1.9629310072252906e-9	125.45878161265554	346.58680145864787	134.10179700937488	257.49744609897607
ENSMUSG00000040522	8056.613147093941	-1.0579518169711193	0.23151015255500196	3.154319646059734e-7	2.6846253337997444e-5	216.12429807238044	128.97441174548277	227.9045067818728	71.9572590316194
ENSMUSG00000024397	11200.611135275078	1.0517053243981507	0.18450637917716423	8.610334383803364e-10	2.2817386117078915e-7	132.00739959624488	259.48146864314447	152.26705253647208	352.8927519700284
ENSMUSG00000014444	4468.480034918203	-1.2806042464004104	0.19574134648238845	3.736441967761713e-12	1.980195717858874e-9	140.84504818200074	59.05328215137966	115.28713810692965	42.53221714939813
ENSMUSG00000028649	5919.857606906716	-1.1031922923280084	0.17212470204490665	1.0005071736156993e-11	4.4868898632150205e-9	151.0362105151246	80.85864272556194	175.68165201429946	66.32910596300455
ENSMUSG00000035352	544.491025058499	1.2763472130390108	0.2625565258345976	7.007052865486591e-8	8.336962899140169e-6	6.1107164770879345	11.982498462489938	6.061098169915249	19.434125864445235
ENSMUSG00000043940	4799.514931148965	-1.0110710740623716	0.16064874418159594	2.2802511944318028e-11	9.495617473955294e-9	130.37522125383055	67.11128014844171	129.01480390248173	57.71689858284223
ENSMUSG00000032788	8309.314955177626	-1.2068733023042786	0.19067245928293147	1.5605821726388315e-11	6.739403012210658e-9	247.67311115441424	115.22704916836253	221.64497980282343	80.64501209055506
ENSMUSG00000040761	2556.919030051295	-1.2601754249608665	0.19124167302078673	2.6956222034799143e-12	1.6542607838197792e-9	77.03085591638536	33.857524725407615	68.8908747348403	24.911187575513377
ENSMUSG00000026548	5911.426976258033	1.3467289308007626	0.17933333212475022	3.78358041007846e-15	5.167233566953861e-12	58.28070959255203	153.65928745406183	72.42651533395752	188.86419693338425
ENSMUSG00000005198	5282.971625942634	-1.00190666339019	0.18126878056092988	2.3748799494733783e-9	5.768979210595748e-7	157.32606851759948	76.07493209906401	128.36540052713366	61.15422696702981
ENSMUSG00000031010	2723.05350999792	-1.4262079953342077	0.1903675161519552	3.988430712057011e-15	5.167233566953861e-12	75.99581599192747	33.369864904259764	84.24204896876255	24.382367824099905
ENSMUSG00000026131	857.0053964623621	-1.1342962683842286	0.2160145968727028	9.37694996919097e-9	1.6892311355409456e-6	24.144296699373502	12.052164151225343	23.70322320020428	8.706639478629013
ENSMUSG00000025261	3895.534526358483	-1.1967546678026357	0.17414541482587295	4.115499877611074e-13	2.822748739585007e-10	115.1282869820085	51.48294397546548	104.04885191687845	41.1912813511711
ENSMUSG00000038024	5114.9799513006255	-1.0280072294622973	0.17057047722730007	1.2006316219591755e-10	3.999818489155425e-8	134.35614404020703	73.10252937968667	143.42795103867903	58.58567388873579
ENSMUSG00000026923	1285.066147582695	-1.3717091331688922	0.2612266924077731	8.361718025914163e-9	1.6168218213268812e-6	44.029006017324136	17.48608787258706	31.405868791138243	9.953143178389348
ENSMUSG00000038664	3322.2145687322186	-1.0519110782402012	0.16765130753680807	2.460416108818439e-11	9.892569596145863e-9	96.53737756963024	44.93436923433726	84.76517946557071	39.718140615090704
ENSMUSG00000009185	2744.686665116602	1.5359102239167481	0.16552145164739973	1.0530098036485736e-21	3.069523577635592e-18	25.65704735819657	80.85864272556194	29.728243404822415	83.47797504455582
ENSMUSG00000022263	2513.8725416033076	-1.0127717024002822	0.2121507327697763	1.218645826489259e-7	1.2801270573752036e-5	71.73622861050461	38.96634189933743	65.12072736129181	25.42112090723352
ENSMUSG00000029004	2245.171656673506	-1.3725510387212678	0.1924332296359708	5.87128331291193e-14	4.8899402448966505e-11	65.30703831050656	28.40037910780076	65.55366294485718	20.47287894757885
ENSMUSG00000030451	2815.626431009059	-1.1730700560867011	0.16218076950704916	3.127032660868709e-14	2.973592828190426e-11	82.24586476653859	34.99539764141925	75.24059662713246	32.919029525488874
ENSMUSG00000084319	3617.547670626867	1.0627110553914094	0.20756744852257203	2.121593389032514e-8	3.171510117451168e-6	39.689800180173755	82.15906891528952	51.068359878065685	116.68030086544478
ENSMUSG00000074305	2102.9818901521176	-1.0031269874852	0.1685285395930196	1.9529510365960427e-10	6.154434888299962e-8	58.59918341546215	28.818373240213198	54.96478013015406	25.96882707834033
ENSMUSG00000033705	3379.810003192575	-1.0807745930017674	0.17824119289409704	9.148319598169615e-11	3.137335485725227e-8	93.90996853062175	47.860328161224345	91.87253862910228	36.92295050047662
ENSMUSG00000024483	2454.354618839794	-1.0081955270487952	0.191690507595591	1.0200783878555682e-8	1.7494695172044551e-6	66.46150591855574	36.713817963559286	66.61796292112207	26.686511026687192
