ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_LPS_1_fpm	WD_LPS_1_fpm	CD_LPS_2_fpm	WD_LPS_2_fpm
ENSMUSG00000020873	1274.422053420575	-2.7191959305387794e-6	0.0014426693695262676	0.30476057249657	0.9996008921543936	33.29015347708297	24.921111239107077	25.74771925631554	25.02006053715612
ENSMUSG00000032501	1539.9159301038987	4.8054272318860845e-6	0.0014426719373114615	0.8229773819668648	0.9996008921543936	27.794636077691493	33.08492354157319	36.84813903773729	33.95439695449613
ENSMUSG00000028248	905.6315720970115	5.467252224183221e-6	0.0014426824253503587	0.4097879479122097	0.9996008921543936	12.89332928318769	19.22227273433849	22.63872594475363	22.688512217718706
ENSMUSG00000036078	1011.1892080819438	-4.261559717003946e-6	0.0014426734376782665	0.9526838181530533	0.9996008921543936	22.404801705211394	24.96634011612905	20.602554268871533	18.495643811335455
ENSMUSG00000024660	1260.8265772306086	5.206560881792761e-6	0.0014426684730204282	0.7419787019404034	0.9996008921543936	27.64667984001557	26.345820865299224	27.608736379433587	26.215223961405552
ENSMUSG00000028405	728.2064943323886	-8.767907850672772e-7	0.0014426679452180183	0.8459677600625122	0.9996008921543936	15.598814772118875	15.852721396201506	16.026641577910695	14.792596480464269
ENSMUSG00000023021	493.91083809363477	2.1693096565345482e-7	0.0014426714499148187	0.9885327940099111	0.9996008921543936	10.631712507284274	11.23937593996027	10.509273165843078	9.855200039302684
ENSMUSG00000038059	1798.2961902954003	-1.0746731112758609e-6	0.001442662882600533	0.5757528626505677	0.9996008921543936	41.27979031158288	38.19578664505613	38.81862775633287	35.48263871009376
ENSMUSG00000021886	230.0892380292153	1.5726730555669505e-6	0.0014426789299604873	0.6512679010906463	0.9996008921543936	4.882555843305503	5.563151873702669	4.488335414578815	4.741468010956759
ENSMUSG00000051390	936.72334855951	4.795442882759972e-6	0.0014426709643789672	0.49771858496800525	0.9996008921543936	19.086354660194235	22.637052949497445	18.785325783944504	19.592843020482476
ENSMUSG00000047250	380.500649929224	-4.610427439407888e-7	0.0014426735146159295	0.9095168403971577	0.9996008921543936	8.137593072175838	8.480414441619923	8.297946937196931	7.621615934967683
ENSMUSG00000000530	1168.5359672786728	4.487272681087337e-6	0.0014426750928686366	0.30189757976048504	0.9996008921543936	25.49074609102353	31.072238514095393	19.96761901510185	23.393854566456074
ENSMUSG00000041124	1746.6017542119084	-1.8309579610709578e-6	0.001442666145374255	0.6894050634927897	0.9996008921543936	42.50571342375483	35.25590963862789	34.5054468945181	37.089251837773325
ENSMUSG00000022433	1033.1344453292327	1.3038482251980003e-6	0.0014426666681398848	0.7763851803975877	0.9996008921543936	20.77728309077623	23.97130482164565	22.39788843470306	21.19945614816204
ENSMUSG00000038683	1401.7429499545644	-5.192965199329798e-6	0.0014426708459119707	0.24544293408764803	0.9996008921543936	35.46722383145729	28.60726471639787	29.929534203557264	25.86255278703687
ENSMUSG00000027104	1682.8986064227122	-3.255605033826575e-7	0.0014426631136431796	0.9438363533346441	0.9996008921543936	35.424950620692734	34.14780215158955	36.91382199502381	37.42233016912153
ENSMUSG00000027770	1271.5259812533768	2.1436284127054969e-7	0.0014426650067281572	0.965689694981011	0.9996008921543936	26.864625440871396	25.48647220188174	27.324110231192005	29.056186199375514
ENSMUSG00000022992	588.7605926660392	-4.6630161440517175e-6	0.001442675654573842	0.2830605827157641	0.9996008921543936	15.366312112913855	11.736893587201973	12.173241417101565	11.069956306572598
ENSMUSG00000020792	1128.1645399387144	2.3158235629856783e-6	0.0014426675055557278	0.6180963850826462	0.9996008921543936	21.3902446468622	23.94869038313466	24.937629449781802	26.19563111838507
ENSMUSG00000099757	1879.832478954782	4.666026522156237e-6	0.001442668341576315	0.3213568948630733	0.9996008921543936	33.96652484931577	41.88194012234692	40.307441454827305	44.59331071461811
ENSMUSG00000025159	1135.4757270031487	3.869162566691311e-6	0.0014426678527285838	0.5559176495197136	0.9996008921543936	21.982069597565896	25.69000214848062	24.34648283420313	25.07883906621757
